name,quadrant,tier,author,description,tags
mck-ppt-design,hollow-victory,production,Kaku,"McKinsey-style PPT generation with comprehensive design system","consulting,ppt,design,automation,mckinsey,python-pptx"
mck-chart-design,hollow-victory,production,Kaku,"FT/Economist editorial chart Midjourney prompt generator","consulting,chart,data-visualization,midjourney,editorial"
professional-speech,hollow-victory,production,Kaku,"Structured presentations using Pyramid Principle and SCQA frameworks","consulting,speech,communication,storytelling,strategy"
workbuddy-ppt-engine,hollow-victory,production,Kaku,"Python-pptx automation engine with McKinsey design system","python,pptx,automation,engine,developer,mckinsey"
data-model-builder,hollow-victory,planned,,"Financial model scaffolding and sensitivity analysis","consulting,finance,modeling"
client-email-craft,hollow-victory,planned,,"Professional client communication templates","consulting,email,communication"
venture-canvas,purposeful-impact,planned,,"Lean Canvas and market sizing for side ventures","strategy,venture,canvas,startup"
community-builder,purposeful-impact,planned,,"Design and grow communities with flywheel thinking","community,growth,flywheel"
strategy-storyteller,purposeful-impact,planned,,"Turn complex strategy into compelling narratives","strategy,storytelling,narrative"
impact-measurement,purposeful-impact,planned,,"OKR/KPI frameworks for meaningful projects","okr,kpi,measurement,impact"
open-source-launch,purposeful-impact,planned,,"Launch and grow an open-source project end to end","open-source,github,launch,community"
weekly-compass,the-drift,planned,,"Weekly planning ritual with energy and priority mapping","planning,weekly,ritual,productivity"
decision-journal,the-drift,planned,,"Structured decision logging to build self-awareness","decision,journal,reflection"
learning-path,the-drift,planned,,"Curated skill-building roadmaps with accountability","learning,roadmap,growth"
focus-session,the-drift,planned,,"Deep work session design with Pomodoro and context loading","focus,pomodoro,deep-work"
reading-digest,quiet-contentment,planned,,"Summarize and annotate books articles and podcasts","reading,summary,annotation"
reflection-prompt,quiet-contentment,planned,,"Daily and weekly reflection using consulting frameworks","reflection,journaling,mindfulness"
life-dashboard,quiet-contentment,planned,,"Personal KPI tracker beyond work metrics","dashboard,life,personal,tracking"
gift-curator,quiet-contentment,planned,,"Thoughtful gift ideas based on relationship context","gifts,relationships,personal"
